2022-11-26 02:01:41 TAI ##________|___############|###############|##########
2022-11-26 02:01:42 TAI ###_______|__#############|###############|##########
2022-11-26 02:01:43 TAI ####______|__#############|###############|##########
2022-11-26 02:01:44 TAI ###_______|___############|#############_#|##########
2022-11-26 02:01:45 TAI ##________|##_#____##_____|_##############|##########
2022-11-26 02:01:46 TAI ##__#_####|__#____########|#######________|_#########
2022-11-26 02:01:47 TAI ###_______|__#############|###############|##########
2022-11-26 02:01:48 TAI ###_______|___############|###############|##########
2022-11-26 02:01:49 TAI ##________|__#############|#########_____#|##########
2022-11-26 02:01:50 TAI #####____#|__#############|###############|###_######
2022-11-26 02:01:51 TAI ######___#|___############|###############|##########
2022-11-26 02:01:52 TAI ###_______|___#########_##|###############|##########
2022-11-26 02:01:53 TAI ###_______|___############|###############|##########
2022-11-26 02:01:54 TAI ##________|_______________|__#############|##########
2022-11-26 02:01:55 TAI ###_______|__########__###|###############|##########
2022-11-26 02:01:56 TAI ##________|__#_____#####__|______##___#___|__########
2022-11-26 02:01:57 TAI ###_______|__#############|###############|##########
2022-11-26 02:01:58 TAI ##________|__#############|###############|##########
2022-11-26 02:01:59 TAI ###_______|_______________|###############|##########
2022-11-26 02:02:00 TAI ####______|_______________|_##############|##########
2022-11-26 02:02:01 TAI ###_______|___############|###############|##########
2022-11-26 02:02:02 TAI ##________|__#############|###############|##########
2022-11-26 02:02:03 TAI ###_______|___############|###############|##########
2022-11-26 02:02:04 TAI ###_______|_______________|_##############|##########
2022-11-26 02:02:05 TAI ###_______|_______________|__#############|##########
2022-11-26 02:02:06 TAI ####______|_______________|_______________|_#########
2022-11-26 02:02:07 TAI #####_____|__#############|##########_####|##########
2022-11-26 02:02:08 TAI ##________|__#############|###############|##########
2022-11-26 02:02:09 TAI ##________|__#############|###############|##########
2022-11-26 02:02:10 TAI #####_____|__#############|###############|##########
2022-11-26 02:02:11 TAI ####______|__#############|###############|##########
2022-11-26 02:02:12 TAI ##________|___############|###############|##########
2022-11-26 02:02:13 TAI ####______|_______________|___############|##########
2022-11-26 02:02:14 TAI ##________|__#############|###############|##########
2022-11-26 02:02:15 TAI ##________|_______________|__#############|##########
2022-11-26 02:02:16 TAI ####______|_______________|##_____________|##########
2022-11-26 02:02:17 TAI ###_______|_##############|###############|##########
2022-11-26 02:02:18 TAI ###_______|___############|###############|##########
2022-11-26 02:02:19 TAI ##________|__#############|###############|##########
2022-11-26 02:02:20 TAI ###_______|__#############|###############|##########
2022-11-26 02:02:21 TAI ###_______|__#############|###############|##########
2022-11-26 02:02:22 TAI ##________|___############|###############|##########
2022-11-26 02:02:23 TAI ####______|_##############|###############|##########
2022-11-26 02:02:24 TAI ###_______|_______________|__#############|##########
2022-11-26 02:02:25 TAI ##________|__#############|###############|##########
2022-11-26 02:02:26 TAI ##________|_______________|_______________|__########
2022-11-26 02:02:27 TAI #####_____|__#############|###############|##########
2022-11-26 02:02:28 TAI ####_____#|###############|###############|##########
2022-11-26 02:02:29 TAI ###_#_____|_______________|_##############|##########
2022-11-26 02:02:30 TAI ###_______|_##############|###############|##########
2022-11-26 02:02:31 TAI ##________|__#############|###############|##########
2022-11-26 02:02:32 TAI ##________|__#############|###############|##########
2022-11-26 02:02:33 TAI ###_______|__#############|###############|##########
2022-11-26 02:02:34 TAI ##________|__#############|###############|##########
2022-11-26 02:02:35 TAI ##________|_##############|###############|##########
2022-11-26 02:02:36 TAI ##________|______#________|_______________|__########
