2023-01-04 11:01:37 TAI #####_____|#__##____#_#_##|##____________#|##########
2023-01-04 11:01:38 TAI ########__|__#############|###############|##########
2023-01-04 11:01:39 TAI ##________|__#############|###############|##########
2023-01-04 11:01:40 TAI ###_______|__#############|###############|##########
2023-01-04 11:01:41 TAI ###_______|___############|###############|##########
2023-01-04 11:01:42 TAI ##________|____###########|###############|##########
2023-01-04 11:01:43 TAI ##________|__#############|###############|##########
2023-01-04 11:01:44 TAI #_________|__#############|###############|##########
2023-01-04 11:01:45 TAI #__##_____|_______________|__#############|##########
2023-01-04 11:01:46 TAI ####______|_______________|_________##____|##########
2023-01-04 11:01:47 TAI ###_______|__#############|###############|##########
2023-01-04 11:01:48 TAI ####______|___############|###############|##########
2023-01-04 11:01:49 TAI ###_______|__#############|###############|##########
2023-01-04 11:01:50 TAI ###____#__|#####_#########|_##############|##########
2023-01-04 11:01:51 TAI ___##___##|###############|###############|######__##
2023-01-04 11:01:52 TAI ######___#|##__###########|###############|##########
2023-01-04 11:01:53 TAI ##________|__###___#######|#_######_######|##########
2023-01-04 11:01:54 TAI _###__#_##|#######_#_#####|###############|######__##
2023-01-04 11:01:55 TAI #######__#|_##____________|___############|##########
2023-01-04 11:01:56 TAI ##________|____________#__|_______________|__########
2023-01-04 11:01:57 TAI ###_______|__#############|###############|##########
2023-01-04 11:01:58 TAI ##________|___############|###############|##########
2023-01-04 11:01:59 TAI ###_______|___############|###############|##########
2023-01-04 11:02:00 TAI ##________|_##############|###############|##########
2023-01-04 11:02:01 TAI ###___#___|_##############|###############|##########
2023-01-04 11:02:02 TAI ####______|__#############|###_###########|#########_
2023-01-04 11:02:03 TAI __________|___############|###############|##########
2023-01-04 11:02:04 TAI ##________|__#############|###############|##########
2023-01-04 11:02:05 TAI ####______|__#############|###############|##########
2023-01-04 11:02:06 TAI ##_______#|###____________|__##______#____|_#########
2023-01-04 11:02:07 TAI ###_______|__#############|###############|##########
2023-01-04 11:02:08 TAI ##__##___#|#########______|__#############|##########
2023-01-04 11:02:09 TAI ##________|_#_############|###############|##########
2023-01-04 11:02:10 TAI ###_______|___############|###############|##########
2023-01-04 11:02:11 TAI ###_______|___############|###############|##########
2023-01-04 11:02:12 TAI ##________|___############|###############|##########
2023-01-04 11:02:13 TAI ####______|_______________|_##############|##########
2023-01-04 11:02:14 TAI ####______|__#############|###############|#####_####
2023-01-04 11:02:15 TAI ##________|_______________|_____##########|##########
2023-01-04 11:02:16 TAI ###______#|#_____#________|_____##________|__########
2023-01-04 11:02:17 TAI ####______|__#############|###############|##########
2023-01-04 11:02:18 TAI ###___##__|____###########|###############|##########
2023-01-04 11:02:19 TAI ###_______|___############|###############|##########
2023-01-04 11:02:20 TAI ###_______|__#############|###############|##########
2023-01-04 11:02:21 TAI ##________|___############|###############|##########
2023-01-04 11:02:22 TAI ####__##__|__#############|###############|##########
2023-01-04 11:02:23 TAI ##________|_##############|###############|##########
2023-01-04 11:02:24 TAI ######__#_|________###____|_##############|##########
